"","rep","sim","recap","mut","sample","T2","T1","CS","AS","NE","Na","Nc","Ns","mut_rate","POP_SIZE","P_D","DISPERSAL_SIGMA","YEAR_SHAPE"
"314","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_550179_993354_2","2884680626060","550179","993354","2",431910.641160326,531616.781988518,0.518423733084682,0.434461529822891,66910.652959181,5581.99251067443,2421.95727443203,12124.4828282505,2.13339265716471e-09,176.4117,0.0763,0.7656,1.5743
"315","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_550179_993354_3","2884680626060","550179","993354","3",431910.641160326,531616.781988518,0.518423733084682,0.434461529822891,66910.652959181,5581.99251067443,2421.95727443203,12124.4828282505,2.13339265716471e-09,176.4117,0.0763,0.7656,1.5743
"316","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_550179_993354_4","2884680626060","550179","993354","4",431910.641160326,531616.781988518,0.518423733084682,0.434461529822891,66910.652959181,5581.99251067443,2421.95727443203,12124.4828282505,2.13339265716471e-09,176.4117,0.0763,0.7656,1.5743
"317","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_484923_0","2884680626060","76332","484923","0",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,3.96848934709431e-09,176.4117,0.0763,0.7656,1.5743
"318","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_484923_1","2884680626060","76332","484923","1",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,3.60932338433316e-09,176.4117,0.0763,0.7656,1.5743
"319","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_484923_2","2884680626060","76332","484923","2",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,3.60932338433316e-09,176.4117,0.0763,0.7656,1.5743
"320","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_484923_3","2884680626060","76332","484923","3",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,3.60932338433316e-09,176.4117,0.0763,0.7656,1.5743
"321","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_484923_4","2884680626060","76332","484923","4",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,3.60932338433316e-09,176.4117,0.0763,0.7656,1.5743
"322","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_495631_0","2884680626060","76332","495631","0",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,5.08016532392851e-09,176.4117,0.0763,0.7656,1.5743
"323","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_495631_1","2884680626060","76332","495631","1",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,3.96848934709431e-09,176.4117,0.0763,0.7656,1.5743
"324","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_495631_2","2884680626060","76332","495631","2",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,3.96848934709431e-09,176.4117,0.0763,0.7656,1.5743
"325","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_495631_3","2884680626060","76332","495631","3",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,3.96848934709431e-09,176.4117,0.0763,0.7656,1.5743
"326","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_495631_4","2884680626060","76332","495631","4",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,3.96848934709431e-09,176.4117,0.0763,0.7656,1.5743
"327","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_574973_0","2884680626060","76332","574973","0",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,3.60932338433316e-09,176.4117,0.0763,0.7656,1.5743
"328","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_574973_1","2884680626060","76332","574973","1",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,2.23888901170172e-09,176.4117,0.0763,0.7656,1.5743
"329","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_574973_2","2884680626060","76332","574973","2",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,2.23888901170172e-09,176.4117,0.0763,0.7656,1.5743
"330","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_574973_3","2884680626060","76332","574973","3",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,2.23888901170172e-09,176.4117,0.0763,0.7656,1.5743
"331","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_574973_4","2884680626060","76332","574973","4",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,2.23888901170172e-09,176.4117,0.0763,0.7656,1.5743
"332","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_84232_0","2884680626060","76332","84232","0",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,4.6223565096485e-09,176.4117,0.0763,0.7656,1.5743
"333","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_84232_1","2884680626060","76332","84232","1",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,5.08016532392851e-09,176.4117,0.0763,0.7656,1.5743
"334","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_84232_2","2884680626060","76332","84232","2",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,5.08016532392851e-09,176.4117,0.0763,0.7656,1.5743
"335","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_84232_3","2884680626060","76332","84232","3",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,5.08016532392851e-09,176.4117,0.0763,0.7656,1.5743
"336","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_84232_4","2884680626060","76332","84232","4",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,5.08016532392851e-09,176.4117,0.0763,0.7656,1.5743
"337","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_89184_0","2884680626060","76332","89184","0",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,NA,176.4117,0.0763,0.7656,1.5743
"338","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_89184_1","2884680626060","76332","89184","1",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,4.6223565096485e-09,176.4117,0.0763,0.7656,1.5743
"339","post_21000_2022-12-05//run_2022-12-05_000005/sim_2884680626060_stats_mut/stats_76332_89184_2","2884680626060","76332","89184","2",418710.585215462,587978.27151786,0.511185603333986,0.445456282199153,43365.5830512591,5691.53074943424,858.217444762818,12119.2883259133,4.6223565096485e-09,176.4117,0.0763,0.7656,1.5743
