"POP_SIZE","DISPERSAL_SIGMA","P_D","YEAR_SHAPE","id","run","slope","slope_patches","init_indivs","init_patches","num_gens","num_individuals","num_juveniles","num_patches","num_hops_mean","num_hops_sd","prop_dispersers","distance_mean","distance_sd","children_mean","children_sd"
233.790763802826,1.95982745629735,0.34823635198336,1.11690478026867,"run000238","sim_runs/run000238/sim_1919791251690.log",2704.12204502814,8.556191369606,22678,475,40,129984,311331,728,5.209,13.7708,0,0.53787,1.25265,4.97445,4.24226
63.6399746965617,1.68369403067045,0.200893654193351,1.16428508795798,"run000239","sim_runs/run000239/sim_4331619358939.log",484.49277673546,5.70834896810507,6174,204,40,23892,56504,336,2.3606,10.235,0,0.212269,0.831329,4.99328,4.28087
292.218669317663,0.549206288764253,0.125081031208538,1.65703430841677,"run000240","sim_runs/run000240/sim_1808710222405.log",1713.50590994371,17.0094746716698,28346,202,40,76359,175890,715,1.33528,7.23658,0,0.0387055,0.188935,5.01633,4.25897
86.859019221738,0.712454945221543,0.02676798556422,1.38033308601007,"run000241","sim_runs/run000241/sim_2674891507777.log",3.72251407129457,-0.476360225140712,8426,170,40,4651,12889,65,0.235699,3.28858,0,0.00860721,0.107918,4.86745,4.18642
145.487485276535,1.31160654979758,0.0522414421720896,1.11737292236648,"run000242","sim_runs/run000242/sim_4157049797410.log",1486.56472795497,10.2549718574109,14113,291,40,61217,144346,478,0.551751,5.04119,0,0.0392933,0.322637,4.97265,4.21967
110.399491721764,0.516673792805523,0.301601720693725,1.49219834199175,"run000243","sim_runs/run000243/sim_1895631087474.log",540.557504690432,5.54324577861163,10709,163,40,26548,67045,289,3.17301,10.669,0,0.0835388,0.253348,4.99963,4.29702
248.893354320899,1.603928999044,0.455172681344266,1.30075766704977,"run000244","sim_runs/run000244/sim_4187950030360.log",2534.46472795497,7.1109756097561,24143,422,40,122322,295596,612,7.10301,15.5831,0,0.606899,1.16262,4.98459,4.24057
236.78765302524,1.58709003510885,0.0899305650273163,1.46442997083068,"run000245","sim_runs/run000245/sim_2085142462114.log",2253.39981238274,19.0085365853659,22969,405,40,96217,233940,942,1.11561,6.82585,0,0.0956267,0.524621,5.00299,4.26139
214.318689685315,1.65500930100679,0.42200715425497,1.63212855136953,"run000246","sim_runs/run000246/sim_4014442814261.log",2053.47692307692,5.98996247654784,20789,392,40,97196,244502,550,6.853,15.3599,0,0.606308,1.19685,5.01142,4.25523
236.075120484456,1.20905757960863,0.399312494500919,1.32282186974771,"run000247","sim_runs/run000247/sim_1656570950140.log",2265.80609756097,9.36998123827392,22900,326,40,110002,267486,618,5.79786,14.3928,0,0.370299,0.817355,5.00198,4.26774
215.355769339949,1.52204978950322,0.337904645009985,1.72591552673839,"run000248","sim_runs/run000248/sim_1887252394217.log",1959.98142589118,7.75084427767355,20890,371,40,93109,231410,590,5.27534,13.8612,0,0.427314,0.993512,4.94688,4.21546
161.128194779158,1.45986886001192,0.418420387697552,1.10071608726867,"run000249","sim_runs/run000249/sim_4245830464716.log",1592.48039399625,7.08621013133208,15630,338,40,76069,191463,511,6.18263,15.0026,0,0.476269,1.01561,5.00361,4.26883
174.1194761917,0.902073271898553,0.272469732455647,1.15021875151433,"run000250","sim_runs/run000250/sim_2363953174799.log",1685.20018761726,11.1312382739212,16890,257,40,75992,183823,560,3.13274,10.9848,0,0.149595,0.474752,4.96269,4.1856
