"","T2","T1","CS","AS","NE","Na","Nc","Ns","mut_rate","POP_SIZE","P_D","DISPERSAL_SIGMA","YEAR_SHAPE"
"31",388250.743017827,674504.780574452,0.567698269077644,0.371591971223018,12723.7094025568,2411.51436654918,3339.11916646671,12125.8067066261,2.84518194381518e-09,121.368744504221,0.135279972803048,0.873889837148003,1.06133956034725
"32",388115.495221431,629340.6825424,0.568364190541874,0.365666506919963,21663.5698255845,1696.17926892844,3265.84010844561,12122.651989279,3.49698876991466e-09,100.361715616669,0.435777719480872,1.02001984458841,1.73678366847336
"33",402788.52269326,592586.129077891,0.578092743872563,0.358772003158133,44973.8780249046,4542.31496774824,2265.19201636492,12122.2550179834,3.44102529277512e-09,84.0488112898828,0.32179666472282,1.80691217772933,1.69345292981918
"34",375051.835093555,538019.789418919,0.538694632288677,0.408763369186472,61637.162902108,5290.63706966896,12126.1171641882,12133.0490875279,4.34467737700856e-09,137.617648449588,0.0908968256912524,1.2973018757447,1.84045422127916
"35",393972.187607828,523583.165512794,0.57184362232458,0.368597537199489,76264.1437893824,9925.44751351662,2663.6131432043,12118.967492167,3.37977803567643e-09,98.4792142643957,0.254588733393639,1.28461573770136,1.99071752457124
"36",390676.739112602,601712.130287818,0.474921728798368,0.481855453736217,42649.3313469997,6569.58606991751,5660.45281630592,12122.2094155783,2.70799527651204e-09,176.347602464261,0.0765415940221049,0.770153099959056,1.57294944789591
"37",414413.805002749,629403.25538233,0.586469966253859,0.347215832041081,38089.0408932892,7565.64798072944,3512.70770999096,12123.0203039421,2.86273484329405e-09,100.494969121297,0.126035843583012,1.30124581070961,1.53079971798752
"38",378691.02614918,518778.878614885,0.558957840350807,0.381957379459878,71876.83703158,5369.41171554169,2327.93658596681,12135.384378592,3.32370187928757e-09,137.616915847764,0.0908968256912524,1.2973018757447,1.84045422127916
"39",409128.22505406,524737.08802398,0.49160569751462,0.46001533154419,69641.0663458638,5176.41127041275,8225.09540335933,12112.6459326743,3.07472113603474e-09,165.1396,0.294135019755289,0.475370655226645,1.05959241643489
"40",374095.465979467,571348.031056593,0.55616149550062,0.389844725786066,49828.0947153513,8512.59228983707,3703.58276153268,12124.156826559,3.55826206869786e-09,120.177070427131,0.138719814594427,0.886894664285591,1.06054805726526
"41",398373.315268373,588606.741753113,0.58877136662409,0.340212464074411,39017.0816691091,8497.55187860554,6940.36481310934,12124.8523524371,3.27783846150208e-09,98.5776756928524,0.253979394707976,1.27806285220822,1.99211535081572
"42",388653.257004029,572080.690595074,0.544375660760676,0.40677812440287,49407.8822620449,6633.93410208709,1930.42083429826,12121.7204643823,3.50439129929834e-09,75.0353,0.3685,1.9964,1.32015163382668
"43",400433.443913226,666866.165106817,0.573548840843638,0.365522451067201,14239.0181332927,9327.68490744628,6117.40366231603,12124.7940580976,3.18419991759573e-09,90.2177399555844,0.309677226317758,1.10932851552218,1.18086430353172
